iter	Passed	Remaining
465	744	853
466	747	853
467	748	851
468	750	849
469	751	847
470	752	845
471	754	844
472	756	842
473	757	840
474	759	839
475	760	837
476	762	835
477	763	834
478	765	832
479	766	830
480	768	829
481	769	827
482	770	825
483	772	823
484	774	821
485	775	819
486	776	817
487	777	815
488	779	814
489	781	812
490	782	811
491	783	809
492	785	807
493	786	805
494	788	804
495	789	802
496	791	800
497	792	799
498	794	797
499	795	795
500	796	793
501	798	791
502	799	790
503	800	788
504	802	786
505	804	785
506	805	783
507	806	781
508	808	779
509	809	777
510	812	777
511	814	776
512	815	774
513	817	773
514	819	771
515	821	770
516	822	768
517	824	767
518	825	765
519	826	763
520	830	763
521	833	763
522	835	762
523	838	762
524	841	761
525	845	761
526	847	760
527	850	760
528	852	759
529	855	758
530	857	757
531	860	756
532	862	756
533	865	754
534	867	754
535	869	753
536	872	752
537	876	752
538	878	751
539	881	750
540	883	749
541	886	748
542	888	748
543	891	746
544	893	745
545	895	744
546	898	744
547	901	743
548	903	742
549	906	741
550	908	740
551	910	739
552	913	738
553	915	737
554	918	736
555	920	735
556	924	735
557	927	735
558	932	735
559	934	734
560	937	733
561	939	732
562	941	730
563	944	729
564	946	728
565	949	727
566	951	726
567	953	725
568	956	724
569	959	723
570	961	722
571	964	721
572	967	720
573	970	720
574	972	718
575	975	718
576	977	716
577	980	715
578	982	714
579	985	713
580	987	712
581	990	711
582	992	709
583	994	708
584	997	707
585	999	706
586	1002	705
587	1004	703
588	1006	702
589	1008	700
590	1010	699
591	1012	697
592	1014	696
593	1016	695
594	1019	693
595	1021	692
596	1023	691
597	1025	689
598	1027	687
599	1029	686
600	1031	684
601	1034	684
602	1036	682
603	1038	680
604	1040	679
605	1042	677
606	1044	676
607	1048	675
608	1050	674
609	1052	672
610	1054	671
611	1056	669
612	1057	667
613	1059	666
614	1061	664
615	1063	662
616	1064	661
617	1066	659
618	1068	657
619	1069	655
620	1071	653
621	1073	652
622	1074	650
623	1076	648
624	1078	646
625	1079	644
626	1080	643
627	1082	641
628	1084	639
629	1085	637
630	1087	635
631	1088	634
632	1091	632
633	1092	630
634	1094	628
635	1095	626
636	1096	624
637	1098	623
638	1099	621
639	1100	619
640	1102	617
641	1104	615
642	1105	613
643	1107	612
644	1109	610
645	1110	608
646	1111	606
647	1113	604
648	1114	602
649	1116	600
650	1117	598
651	1118	596
652	1119	595
653	1121	593
654	1122	591
655	1123	589
656	1124	587
657	1126	585
658	1127	583
659	1128	581
660	1129	579
661	1130	577
662	1132	575
663	1133	573
664	1134	571
665	1136	569
666	1137	568
667	1139	566
668	1140	564
669	1142	562
670	1143	560
671	1144	558
672	1146	556
673	1148	555
674	1149	553
675	1151	551
676	1152	549
677	1153	547
678	1154	545
679	1155	543
680	1157	542
681	1158	540
682	1159	538
683	1160	536
684	1161	534
685	1163	532
686	1164	530
687	1165	528
688	1166	526
689	1168	524
690	1169	523
691	1170	521
692	1172	519
693	1173	517
694	1174	515
695	1176	513
696	1177	511
697	1179	510
698	1180	508
699	1181	506
700	1183	504
701	1184	502
702	1185	500
703	1186	498
704	1188	497
705	1189	495
706	1190	493
707	1191	491
708	1192	489
709	1194	487
710	1196	486
711	1197	484
712	1199	482
713	1200	480
714	1202	479
715	1203	477
716	1205	475
717	1206	473
718	1208	472
719	1209	470
720	1210	468
721	1212	466
722	1213	465
723	1215	463
724	1216	461
725	1217	459
726	1219	457
727	1220	456
728	1221	454
729	1223	452
730	1224	450
731	1225	448
732	1226	446
733	1228	445
734	1229	443
735	1230	441
736	1232	439
737	1233	437
738	1234	435
739	1235	434
740	1237	432
741	1238	430
742	1239	428
743	1241	427
744	1242	425
745	1243	423
746	1245	421
747	1246	420
748	1248	418
749	1249	416
750	1251	414
751	1252	413
752	1254	411
753	1255	409
754	1257	408
755	1258	406
756	1260	404
757	1261	402
758	1263	401
759	1265	399
760	1266	397
761	1268	396
762	1270	394
763	1271	392
764	1273	391
765	1275	389
766	1277	387
767	1278	386
768	1280	384
769	1282	383
770	1283	381
771	1285	379
772	1287	377
773	1288	376
774	1290	374
775	1292	373
776	1294	371
777	1295	369
778	1297	368
779	1299	366
780	1301	364
781	1303	363
782	1305	361
783	1307	360
784	1309	358
785	1310	356
786	1312	355
787	1314	353
788	1316	352
789	1318	350
790	1320	348
791	1322	347
792	1324	345
793	1327	344
794	1328	342
795	1331	341
796	1333	339
797	1335	337
798	1337	336
799	1339	334
800	1341	333
801	1343	331
802	1345	329
803	1346	328
804	1348	326
805	1351	325
806	1354	323
807	1356	322
808	1358	320
809	1361	319
810	1363	317
811	1365	316
812	1368	314
813	1370	313
814	1371	311
815	1374	309
816	1375	308
817	1377	306
818	1379	304
819	1381	303
820	1383	301
821	1385	300
822	1387	298
823	1389	296
824	1392	295
825	1395	293
826	1402	293
827	1406	292
828	1408	290
829	1413	289
830	1416	287
831	1425	287
832	1429	286
833	1432	285
834	1437	283
835	1442	282
836	1445	281
837	1447	279
838	1451	278
839	1453	276
840	1458	275
841	1461	274
842	1464	272
843	1467	271
844	1470	269
845	1472	268
846	1475	266
847	1477	264
848	1481	263
849	1482	261
850	1484	259
851	1485	258
852	1487	256
853	1489	254
854	1491	253
855	1494	251
856	1496	249
857	1499	248
858	1500	246
859	1502	244
860	1504	242
861	1506	241
862	1507	239
863	1508	237
864	1510	235
865	1511	233
866	1512	232
867	1513	230
868	1515	228
869	1517	226
870	1519	225
871	1520	223
872	1522	221
873	1524	219
874	1525	217
875	1527	216
876	1529	214
877	1531	212
878	1533	211
879	1535	209
880	1537	207
881	1538	205
882	1540	204
883	1541	202
884	1543	200
885	1544	198
886	1545	196
887	1547	195
888	1548	193
889	1549	191
890	1550	189
891	1551	187
892	1553	186
893	1554	184
894	1555	182
895	1556	180
896	1557	178
897	1559	177
898	1560	175
899	1561	173
900	1562	171
901	1563	169
902	1565	168
903	1567	166
904	1568	164
905	1569	162
906	1571	161
907	1572	159
908	1573	157
909	1575	155
910	1576	154
911	1578	152
912	1579	150
913	1580	148
914	1581	146
915	1583	145
916	1585	143
917	1586	141
918	1588	139
919	1590	138
920	1592	136
921	1593	134
922	1595	133
923	1597	131
924	1598	129
925	1599	127
926	1601	126
927	1603	124
928	1604	122
929	1606	120
930	1607	119
931	1609	117
932	1611	115
933	1612	113
934	1613	112
935	1615	110
936	1617	108
937	1618	106
938	1620	105
939	1622	103
940	1623	101
941	1624	100
942	1626	98
943	1630	96
944	1631	94
945	1632	93
946	1634	91
947	1636	89
948	1637	88
949	1639	86
950	1641	84
951	1643	82
952	1645	81
953	1647	79
954	1649	77
955	1651	75
956	1654	74
957	1656	72
958	1658	70
959	1661	69
960	1663	67
961	1666	65
962	1669	64
963	1671	62
964	1673	60
965	1675	58
966	1677	57
967	1679	55
968	1681	53
969	1684	52
970	1686	50
971	1689	48
972	1691	46
973	1693	45
974	1695	43
975	1698	41
976	1700	40
977	1702	38
978	1704	36
979	1705	34
980	1708	33
981	1711	31
982	1713	29
983	1716	27
984	1720	26
985	1723	24
986	1726	22
987	1729	21
988	1732	19
989	1734	17
990	1737	15
991	1739	14
992	1742	12
993	1745	10
994	1747	8
995	1750	7
996	1752	5
997	1755	3
998	1757	1
999	1759	0
