iter	Passed	Remaining
0	1	33
1	2	28
2	3	28
3	4	27
4	5	26
5	6	26
6	7	25
7	8	24
8	10	23
9	12	24
10	13	23
11	14	21
12	15	20
13	16	19
14	18	18
15	19	16
16	20	15
17	21	14
18	23	13
19	24	12
20	25	10
21	26	9
22	27	8
23	28	7
24	30	6
25	31	4
26	32	3
27	33	2
28	35	1
29	36	0
